file;caption;description
constância.jpg;Constância;'Olho de Deus', significa trabalho e obrigações, estabilidade, permanência e segurança.
visita.jpg;Visita;Eventos, amigos, festas e reuniões com outras pessoas.
mensagem.jpg;Mensagem;Comunicação, conversação.
carta.jpg;Carta;Esta carta mostra uma mensagem importante, que pode ser um telefonema, E-Mail, carta, ou documento importante. Além disso pode significar um convite, segredo ou contrato.
ladrão.jpg;Ladrão;Esta carta mostra influências negativas e tensão geradas por outras pessoas. Se esta carta está próxima de uma carta representando uma pessoa, significa então que você deve tomar cuidado com ela.
ciúmes.jpg;Ciúmes;Inveja, 'olho gordo' e desconfiança.
algum dinheiro.jpg;Algum Dinheiro;Essa carta mostra uma pequena quantidade de dinheiro.
falsidade.jpg;Falsidade;Essa carta mostra que algo falso e injusto ocorre em seu meio social. Ela também alerta para erros e infortúnios que possam ocorrer a você ou a seus próximos. Se esta carta se localiza próxima a uma carta de pessoa, significa que se trata de uma pessoa desonesta.
inimigo.jpg;Inimigo;Essa carta indica que você tem inimigos no seu círculo social, que querem prejudicá-lo(a). Também vingança e rejeição moral são mostrados pela carta, que sugere cuidado.
alegria.jpg;Alegria;Tempo alegre com muitas surpresas positivas.
pensamento.jpg;Pensamento;Planos e pensamentos. Também simboliza uma pessoa de seu círculo social - um homem jovem, pensativo e um pouco introvertido.
sacerdote.jpg;Sacerdote;Essa carta simboliza esoterismo, religião, filosofia de vida e visão de mundo. Próxima a uma carta de pessoa, essa carta indica sempre que essa pessoa é especialmente misericordiosa e compreensiva.
dinheiro.jpg;Dinheiro;Dinheiro e Bem-Estar.
pessoa amada1.jpg;Pessoa Amada;Esta carta é uma carta que representa uma pessoa, podendo ser um homem ou uma mulher. No caso do homem ou mulher ter um caso fora de seu relacionamento, isso será representado por uma carta de pessoa adicional. Todas as cartas que se localizam sobre a carta principal mostram os pensamentos dessa pessoa. Já as cartas que se localizam abaixo da carta principal representam posse ou situação atual.
pessoa amada2.jpg;Pessoa Amada;Esta carta é uma carta que representa uma pessoa, podendo ser um homem ou uma mulher. No caso do homem ou mulher ter um caso fora de seu relacionamento, isso será representado por uma carta de pessoa adicional. Todas as cartas que se localizam sobre a carta principal mostram os pensamentos dessa pessoa. Já as cartas que se localizam abaixo da carta principal representam posse ou situação atual.
presente.jpg;Presente;Esta carta simboliza não apenas um presente, mas também eventos positivos, que requerem sua atenção. Próxima a uma carta de pessoa, esta carta diz que a pessoa tem um talento especial.
fortuna.jpg;Fortuna;Essa carta simboliza a fortuna, um tempo de sorte e grande sucesso. Caso hajam cartas negativas na proximidade dessa carta, o efeito delas será abrandado pela carta de fortuna. Caso esta carta esteja próxima a uma carta de pessoa, ela indica que essa é uma pessoa otimista e de sorte.
casa.jpg;Casa;Casa, apartamento ou terreno, própria família ou ambiente em que se habita.
casamento.jpg;Casamento;A carta simboliza um relacionamento estável. Se estiver próxima a uma carta de pessoa, a carta indica que essa pessoa é fiel e confiável.
esperança.jpg;Esperança;Essa carta mostra pensamentos e desejos positivos, além disso mostra uma mudança para o bem.
criança.jpg;Criança;A carta mostra uma criança pequena e simboliza novidades, renovações ou um novo começo.
doença.jpg;Doença;Doença física ou psíquica. Carência no relacionamento ou danos materiais.
amor.jpg;Amor;Amor, harmonia e afeto. Caso a pergunta não seja diretamente ligada ao Amor, a carta mostra um final feliz em um determinado tema. Se próxima a uma carta de pessoa, ela mostra que essa pessoa é afetuosa e amável.
oficial.jpg;Oficial;Essa carta mostra um homem influente ou de comportamento autoritário. A carta pode representar um amigo ou um parente jovem. Além disso ela representa uma autoridade pública ou oficial, com o qual você será confrontado no cotidiano.
viagem.jpg;Viagem;Essa carta simboliza uma viagem, meio de locomoção ou uma mudança.
juiz.jpg;Juiz;Essa carta simboliza todas as decisões que devem ser tomadas no futuro próximo. Dependendo da pergunta a carta também pode representar pessoas jurídicas ou um tribunal.
desejo.jpg;Desejo;Esta carta simboliza desejos e sonhos difíceis de realizar e adverte que, para a realização dos mesmos, muita paciência será necessária. Se esta carta estiver próxima a uma carta de pessoa, ela indica que essa é uma pessoa exigente.
morte.jpg;Morte;Esta carta indica que uma situação ou uma fase da vida chega ao fim. Ela também simboliza eventos ruins, que podem causar susto.
tristeza.jpg;Tristeza;Preocupação, tristeza ou insatisfação.
fidelidade.jpg;Fidelidade;Esta carta simboliza permanência e diz que a rotina desenvolve-se da maneira esperada sem grandes mudanças. Próxima a uma carta de pessoa, esta carta  indica que essa pessoa é confiável.
infortúnio.jpg;Infortúnio;Possível ameaça no cotidiano. As cartas vizinhas à esta mostrarão qual área da sua vida é afetada por esse infortúnio.
alegria inesperada.jpg;Alegria Inesperada;Esta carta simboliza surpresas agradáveis e resultados positivos.
desgosto.jpg;Desgosto;Esta carta mostra conflitos. Ela simboliza também agressividade, nervosismo ou estresse em alguma área da vida. Se próxima de uma carta de pessoa, ela mostra que essa pessoa é irritadiça e 'encrenqueira'.
perda.jpg;Perda;Esta carta mostra perdas. Essas perdas não estão necessariamente ligadas à bens materiais ou dinheiro, podendo também significar a perda do parceiro, de amigos ou da alegria de viver. Próxima a uma carta de pessoa, esta carta indica que essa pessoa é desleixada ou descuidada.
viúva.jpg;Viúva;Calma e solidão. Representa, como carta de pessoa, uma mulher mais velha, podendo ser a mãe, avó, tia, irmã mais velha ou parceira mais velha.
viúvo.jpg;Viúvo;Calma e solidão. Representa, como carta de pessoa, um homem mais velho, podendo ser o pai, avô, tio, irmão mais velho ou parceiro mais velho.
